Blockmess: 1730

Aggregated Stats:
LongSummaryStatistics{count=50450, sum=13730423, min=1, average=272.159029, max=1425}

#####################################################

Specific stats for each replica:
LongSummaryStatistics{count=400, sum=64490, min=1, average=161.225000, max=519}
LongSummaryStatistics{count=473, sum=76464, min=1, average=161.657505, max=444}
LongSummaryStatistics{count=508, sum=84667, min=1, average=166.667323, max=303}
LongSummaryStatistics{count=426, sum=72616, min=1, average=170.460094, max=526}
LongSummaryStatistics{count=394, sum=71560, min=1, average=181.624365, max=267}
LongSummaryStatistics{count=521, sum=95536, min=1, average=183.370441, max=544}
LongSummaryStatistics{count=618, sum=114380, min=1, average=185.080906, max=424}
LongSummaryStatistics{count=526, sum=99261, min=1, average=188.709125, max=551}
LongSummaryStatistics{count=518, sum=100968, min=1, average=194.918919, max=577}
LongSummaryStatistics{count=512, sum=103421, min=1, average=201.994141, max=721}
LongSummaryStatistics{count=529, sum=107218, min=1, average=202.680529, max=715}
LongSummaryStatistics{count=435, sum=89337, min=1, average=205.372414, max=537}
LongSummaryStatistics{count=449, sum=93124, min=1, average=207.403118, max=955}
LongSummaryStatistics{count=566, sum=122122, min=1, average=215.763251, max=767}
LongSummaryStatistics{count=547, sum=118627, min=1, average=216.868373, max=827}
LongSummaryStatistics{count=460, sum=101397, min=1, average=220.428261, max=756}
LongSummaryStatistics{count=363, sum=80617, min=1, average=222.085399, max=611}
LongSummaryStatistics{count=494, sum=109764, min=1, average=222.194332, max=734}
LongSummaryStatistics{count=398, sum=89371, min=1, average=224.550251, max=533}
LongSummaryStatistics{count=597, sum=135248, min=1, average=226.546064, max=774}
LongSummaryStatistics{count=484, sum=110210, min=1, average=227.706612, max=714}
LongSummaryStatistics{count=668, sum=153200, min=1, average=229.341317, max=536}
LongSummaryStatistics{count=482, sum=112371, min=1, average=233.134855, max=721}
LongSummaryStatistics{count=421, sum=98751, min=1, average=234.562945, max=525}
LongSummaryStatistics{count=476, sum=112333, min=1, average=235.993697, max=786}
LongSummaryStatistics{count=465, sum=109898, min=1, average=236.339785, max=949}
LongSummaryStatistics{count=589, sum=139516, min=1, average=236.869270, max=719}
LongSummaryStatistics{count=550, sum=130911, min=1, average=238.020000, max=626}
LongSummaryStatistics{count=494, sum=118753, min=1, average=240.390688, max=952}
LongSummaryStatistics{count=517, sum=125283, min=1, average=242.326886, max=737}
LongSummaryStatistics{count=456, sum=110972, min=1, average=243.359649, max=779}
LongSummaryStatistics{count=541, sum=132828, min=1, average=245.523105, max=944}
LongSummaryStatistics{count=475, sum=116760, min=1, average=245.810526, max=954}
LongSummaryStatistics{count=469, sum=116712, min=1, average=248.852878, max=788}
LongSummaryStatistics{count=504, sum=125495, min=1, average=248.998016, max=760}
LongSummaryStatistics{count=382, sum=95802, min=1, average=250.790576, max=760}
LongSummaryStatistics{count=567, sum=142288, min=1, average=250.948854, max=1183}
LongSummaryStatistics{count=489, sum=123308, min=1, average=252.163599, max=956}
LongSummaryStatistics{count=550, sum=138841, min=1, average=252.438182, max=953}
LongSummaryStatistics{count=535, sum=135076, min=1, average=252.478505, max=1014}
LongSummaryStatistics{count=484, sum=122677, min=1, average=253.464876, max=947}
